mcp_server_name,tool_name,description_label,description_quality_score,description_reason,description_improvement_needed,purpose_score,usage_guideline_score,limitation_score,parameter_explanation_score,examples_balance_score,length_completeness_score
blender,clear_scene_and_polyhaven_materials,Good,88,"The description is comprehensive, clear, and well-structured, with strong coverage across all components except minor issues in example balance and one limitation omission.","limitation: Clarify the discrepancy between stated output (no output) and actual example output (JSON status); parameter_explanation: Although no parameters exist, the explanation should explicitly state this and justify why no parameters are available",5,5,4,4,3,5
blender,create_object,Good,100,"The tool description is comprehensive, precise, and self-sufficient, with clear purpose, usage guidance, limitations, parameter details, balanced examples, and sufficient length.",,5,5,5,5,5,5
blender,delete_object,Good,92,"The description is comprehensive, well-structured, and meets all key criteria with clear purpose, usage guidance, limitations, parameter details, and appropriate length.",limitation: Missing explicit clarification on name-sensitivity (case-sensitive?) and behavior with duplicate names,5,5,4,5,5,5
blender,download_polyhaven_asset,Good,100,"The tool description is comprehensive, well-structured, and fully satisfies all rubric criteria with precise language, clear boundaries, and balanced examples that support, rather than replace, the explanation.",,5,5,5,5,5,5
blender,execute_blender_code,Good,100,"The tool description is comprehensive, precise, and self-sufficient, with clear purpose, usage guidance, limitations, parameter details, balanced examples, and sufficient length.",,5,5,5,5,5,5
blender,get_object_info,Good,100,"The tool description is comprehensive, precise, and self-sufficient, with clear purpose, usage guidance, limitations, parameter details, balanced examples, and sufficient length.",,5,5,5,5,5,5
blender,get_polyhaven_categories,Good,100,"The description is comprehensive, precise, and self-sufficient, with clear purpose, usage guidance, limitations, parameter details, and appropriate length.",,5,5,5,5,5,5
blender,get_polyhaven_status,Good,100,"The description is comprehensive, precise, and self-sufficient, covering all key aspects with clear language, appropriate structure, and no reliance on examples. All rubric criteria are fully met.",,5,5,5,5,5,5
blender,get_scene_info,Good,92,"The description is comprehensive, well-structured, and clearly communicates the tool's function, usage context, limitations, and input/output behavior with minimal redundancy.","parameter_explanation: While parameters are noted as absent, the explanation could better emphasize that 'no parameters' is a deliberate design choice with implications for consistency and predictability.; examples_balance: The examples are helpful but slightly over-reliant on code blocks; a brief prose summary before each example would improve readability and reinforce the description.",5,5,5,4,4,5
blender,modify_object,Good,100,"The description is comprehensive, precise, and self-sufficient, covering all key aspects with clear, well-structured prose and no reliance on examples.",,5,5,5,5,5,5
blender,search_polyhaven_assets,Good,96,"The tool description is comprehensive, well-structured, and meets all key criteria with clear purpose, usage guidance, limitations, parameter details, balanced examples, and sufficient length.","parameter_explanation: The 'type' field in the result is mentioned as potentially being an internal numeric code, but its mapping to human-readable types is not explained. Clarifying this would improve clarity.",5,5,5,4,5,5
blender,set_material,Bad,67,"The description over-relies on examples and contains inconsistencies, particularly in return behavior and color format, undermining clarity and reliability.",examples_balance (2); limitation (3); usage_guideline (3),4,3,3,5,2,4
blender,set_texture,Good,100,"The description is comprehensive, precise, and self-sufficient, with clear purpose, usage guidance, limitations, parameter details, and appropriate length.",,5,5,5,5,5,5
calculator,calculate,Good,100,"The tool description is comprehensive, precise, and self-sufficient, with clear purpose, usage guidance, limitations, parameter details, balanced examples, and sufficient length.",,5,5,5,5,5,5
date,get_current_datetime,Good,100,"The description is comprehensive, well-structured, and fully satisfies all rubric criteria with no weaknesses.",,5,5,5,5,5,5
